queue_number,project_number,project_name,fuel_1,fuel_2,fuel_3,mw_1,mw_2,mw_3,net_mw,county,state,study_area,pto,poi,voltage_kv,requested_cod,queue_date,application_date,withdrawal_date,service_type,status,days_queue_to_withdrawal,days_app_to_withdrawal,technology,is_withdrawn,is_active
2331,54882,Stanley,Photovoltaic/Solar,Storage/Battery,,1038.9,1032.1121,,2071.0121,Maricopa,AZ,SCE EASTERN,DCRT,CIELO AZUL 500 kV,500,2030-04-30,,2024-11-21,,Energy Only Requested,active,,,other,0,1
2236,54908,Summit Valley Energy Storage,Storage/Battery,,,518.6815,,,518.6815,San Bernadino,CA,SCE METRO,SCE,LUGO 500 kV,500,2032-06-01,,2024-11-18,,Full Capacity Deliverability Status Requested,active,,,other,0,1
2240,54903,Sunflower,Photovoltaic/Solar,Storage/Battery,,715.1,715.1,,1430.2,San Bernardino County,CA,SCE NOL,SCE,LUGO-PISGAH NO.2,230,2031-03-01,,2024-11-23,,Energy Only Requested,active,,,other,0,1
2260,54905,Sunglow,Photovoltaic/Solar,Storage/Battery,,372.165,372.165,,744.33,Kings County,CA,PG&E FRESNO,LSPC,MANNING 500 kV,500,2030-10-01,,2024-11-22,,Full Capacity Deliverability Status Requested,active,,,other,0,1
2319,54902,Sunvine,Photovoltaic/Solar,Storage/Battery,,613.7,0.0,,613.7,Kern County,CA,SCE NORTHERN,SCE,MAGUNDEN-PASTORIA NO.3,230,2031-03-01,,2024-11-22,,Energy Only Requested,active,,,other,0,1
2285,54666,Tea Leaf Energy Storage,Storage/Battery,,,404.31,,,404.31,Alameda,CA,PG&E GBA,PGAE,TESLA 230 kV,230,2030-06-01,,2024-11-19,,Full Capacity Deliverability Status Requested,active,,,other,0,1
2258,54827,Telluride,Photovoltaic/Solar,Storage/Battery,,102.7,102.7,,205.4,Fresno,CA,PG&E FRESNO,PGAE,ORO LOMA 115 kV,115,2030-10-30,,2024-11-15,,Energy Only Requested,active,,,other,0,1
2301,54652,TENDRIL,Photovoltaic/Solar,Storage/Battery,,100.0,100.0,,200.0,Kern,CA,PG&E KERN,PGAE,ARCO-MIDWAY,230,2031-12-31,,2024-11-26,,Energy Only Requested,active,,,other,0,1
2231,54879,Tioga Pass,Storage/Battery,,,103.0000006,,,103.0000006,San Joaquin,CA,PG&E GBA,PGAE,LOCKEFORD 115 kV,115,2028-01-31,,2024-12-02,,Full Capacity Deliverability Status Requested,active,,,other,0,1
2272,54638,Toland Renewable Energy Park,Wind Turbine/Wind,,,108.0,,,108.0,Solano,CA,PG&E NGBA,PGAE,BIRDS LANDING SW STA 230 kV,230,2029-05-30,,2024-11-06,,Full Capacity Deliverability Status Requested,active,,,other,0,1
2329,54707,Torbino Solar,Photovoltaic/Solar,,,507.0,,,507.0,Kern,CA,SCE NORTHERN,SCE,WINDHUB 500 kV,500,2029-03-30,,2024-11-26,,Energy Only Requested,active,,,other,0,1
2317,54943,Twinkle,Storage/Battery,,,303.95,,,303.95,San Bernardino,CA,SCE METRO,SCE,MIRA LOMA 230 kV,230,2031-04-01,,2024-11-21,,Full Capacity Deliverability Status Requested,active,,,other,0,1
2340,54859,Ulua,Storage/Battery,,,104.97,,,104.97,Los Angeles,CA,SCE METRO,SCE,EAGLE ROCK 230 kV,230,2029-06-30,,2024-11-21,,Full Capacity Deliverability Status Requested,active,,,other,0,1
2321,55041,Voyager Energy Storage,Storage/Battery,,,105.4,,,105.4,Kern,CA,SCE NORTHERN,SCE,WHIRLWIND 230 kV,230,2027-06-01,,2024-11-21,,Full Capacity Deliverability Status Requested,active,,,other,0,1
2259,54802,Whiskey Diggings,Photovoltaic/Solar,,,414.4,,,414.4,Sutter,CA,PG&E NGBA,PGAE,RIO OSO 230 kV,230,2030-12-31,,2024-12-02,,Energy Only Requested,active,,,other,0,1
2352,55002,Yacht Rock,Storage/Battery,,,514.41,,,514.41,San Bernardino,CA,SCE METRO,SCE,CHINO 230 kV,230,2028-12-31,,2024-12-01,,Full Capacity Deliverability Status Requested,active,,,other,0,1
2247,54778,Zama,Storage/Battery,,,352.7437,,,352.7437,Kern,CA,SCE NORTHERN,SCE,WHIRLWIND 230 kV,230,2029-12-01,,2024-11-15,,Full Capacity Deliverability Status Requested,active,,,other,0,1
2264,54682,Zeitgeist K Energy Center,Storage/Battery,,,258.2079,,,258.2079,San Joaquin,CA,PG&E GBA,PGAE,KASSON 115 kV,115,2030-12-26,,2024-11-28,,Full Capacity Deliverability Status Requested,active,,,other,0,1
2235,54841,Zinfandel Storage Center,Storage/Battery,,,153.69,,,153.69,San Joaquin,CA,PG&E GBA,PGAE,BELLOTA-RIVERBANK,115,2030-02-15,,2024-11-29,,Full Capacity Deliverability Status Requested,active,,,other,0,1
2229,54899,Clay Flats,Storage/Battery,,,437.08,,,437.08,king,CA,PG&E FRESNO,LSPC,MANNING 500 kV,500,2030-10-01,2025-02-12,,2025-04-23,Energy Only Requested,withdrawn,70.0,,other,1,0
